,apparentTemperature,humidity,precipType,wr,month,week_day,time
0,-23.27,0.83,NoPrecip,9.0,January,Tuesday,6
1,-23.27,0.83,NoPrecip,10.0,January,Tuesday,6
2,-24.22,0.83,NoPrecip,10.0,January,Tuesday,7
3,-24.22,0.83,NoPrecip,7.0,January,Tuesday,7
4,-19.47,0.85,NoPrecip,18.0,January,Tuesday,8
5,-19.62,0.84,NoPrecip,21.0,January,Tuesday,9
6,-19.62,0.84,NoPrecip,27.0,January,Tuesday,9
7,-19.62,0.84,NoPrecip,25.0,January,Tuesday,9
8,-17.83,0.84,NoPrecip,27.0,January,Tuesday,10
9,-17.83,0.84,NoPrecip,27.0,January,Tuesday,10
10,-17.39,0.75,NoPrecip,35.0,January,Tuesday,11
11,-18.87,0.77,NoPrecip,37.0,January,Tuesday,12
12,-16.83,0.78,NoPrecip,46.0,January,Tuesday,13
13,-16.83,0.78,NoPrecip,50.0,January,Tuesday,13
14,-16.83,0.78,NoPrecip,43.0,January,Tuesday,13
15,-17.14,0.84,NoPrecip,45.0,January,Tuesday,14
16,-17.14,0.84,NoPrecip,51.0,January,Tuesday,14
17,-18.22,0.78,NoPrecip,56.0,January,Tuesday,16
18,-18.22,0.78,NoPrecip,54.0,January,Tuesday,16
19,-20.83,0.78,NoPrecip,63.0,January,Tuesday,17
20,-20.83,0.78,NoPrecip,68.0,January,Tuesday,17
21,-18.55,0.74,NoPrecip,7.0,January,Wednesday,6
22,-18.55,0.74,NoPrecip,12.0,January,Wednesday,6
23,-18.99,0.76,NoPrecip,17.0,January,Wednesday,7
24,-18.99,0.76,NoPrecip,23.0,January,Wednesday,7
25,-18.07,0.72,NoPrecip,27.0,January,Wednesday,8
26,-18.07,0.72,NoPrecip,29.0,January,Wednesday,8
27,-17.62,0.72,NoPrecip,34.0,January,Wednesday,9
28,-17.62,0.72,NoPrecip,18.0,January,Wednesday,9
29,-16.07,0.71,NoPrecip,23.0,January,Wednesday,10
30,-16.07,0.71,NoPrecip,24.0,January,Wednesday,10
31,-15.87,0.7,NoPrecip,33.0,January,Wednesday,11
32,-18.08,0.73,NoPrecip,38.0,January,Wednesday,12
33,-18.08,0.73,NoPrecip,37.0,January,Wednesday,12
34,-14.82,0.75,NoPrecip,34.0,January,Wednesday,13
35,-14.93,0.76,NoPrecip,35.0,January,Wednesday,14
36,-14.93,0.76,NoPrecip,45.0,January,Wednesday,14
37,-14.46,0.8,NoPrecip,67.0,January,Wednesday,15
38,-14.46,0.8,NoPrecip,56.0,January,Wednesday,15
39,-14.64,0.82,NoPrecip,50.0,January,Wednesday,16
40,-14.64,0.82,NoPrecip,44.0,January,Wednesday,16
41,-14.05,0.8,NoPrecip,48.0,January,Wednesday,17
42,-14.05,0.8,NoPrecip,57.0,January,Wednesday,17
43,-14.05,0.8,NoPrecip,54.0,January,Wednesday,17
44,-13.51,0.78,NoPrecip,5.0,January,Thursday,6
45,-17.33,0.83,NoPrecip,9.0,January,Thursday,7
46,-17.33,0.83,NoPrecip,22.0,January,Thursday,7
47,-14.77,0.78,NoPrecip,22.0,January,Thursday,8
48,-16.15,0.72,NoPrecip,21.0,January,Thursday,9
49,-16.15,0.72,NoPrecip,18.0,January,Thursday,9
50,-16.75,0.78,NoPrecip,14.0,January,Thursday,10
51,-16.75,0.78,NoPrecip,25.0,January,Thursday,10
52,-16.75,0.78,NoPrecip,35.0,January,Thursday,10
53,-17.72,0.73,NoPrecip,38.0,January,Thursday,11
54,-18.14,0.78,NoPrecip,32.0,January,Thursday,12
55,-18.14,0.78,NoPrecip,30.0,January,Thursday,12
56,-18.14,0.78,NoPrecip,32.0,January,Thursday,12
57,-18.11,0.71,NoPrecip,44.0,January,Thursday,13
58,-19.3,0.76,NoPrecip,40.0,January,Thursday,15
59,-19.3,0.76,NoPrecip,69.0,January,Thursday,15
60,-19.32,0.74,NoPrecip,72.0,January,Thursday,16
61,-19.32,0.74,NoPrecip,80.0,January,Thursday,16
62,-21.35,0.79,NoPrecip,79.0,January,Thursday,17
63,-21.35,0.79,NoPrecip,82.0,January,Thursday,17
64,-27.09,0.77,NoPrecip,7.0,January,Friday,6
65,-26.62,0.74,NoPrecip,10.0,January,Friday,7
66,-26.62,0.74,NoPrecip,15.0,January,Friday,7
67,-27.09,0.85,NoPrecip,14.0,January,Friday,8
68,-27.09,0.85,NoPrecip,15.0,January,Friday,8
69,-25.23,0.8,NoPrecip,15.0,January,Friday,9
70,-25.23,0.8,NoPrecip,18.0,January,Friday,9
71,-25.23,0.8,NoPrecip,29.0,January,Friday,9
72,-26.46,0.82,NoPrecip,28.0,January,Friday,10
73,-26.46,0.82,NoPrecip,49.0,January,Friday,10
74,-17.98,0.8,NoPrecip,49.0,January,Friday,11
75,-21.28,0.78,NoPrecip,56.0,January,Friday,12
76,-21.28,0.78,NoPrecip,55.0,January,Friday,12
77,-21.89,0.73,NoPrecip,64.0,January,Friday,13
78,-22.99,0.63,NoPrecip,79.0,January,Friday,14
79,-22.99,0.63,NoPrecip,82.0,January,Friday,14
80,-22.99,0.63,NoPrecip,86.0,January,Friday,14
81,-15.04,0.78,NoPrecip,87.0,January,Friday,15
82,-15.04,0.78,NoPrecip,57.0,January,Friday,15
83,-21.23,0.71,NoPrecip,56.0,January,Friday,16
84,-19.95,0.81,NoPrecip,19.0,January,Saturday,9
85,-18.62,0.81,NoPrecip,33.0,January,Saturday,10
86,-18.62,0.81,NoPrecip,34.0,January,Saturday,10
87,-18.62,0.81,NoPrecip,42.0,January,Saturday,10
88,-17.69,0.81,NoPrecip,36.0,January,Saturday,11
89,-16.45,0.77,NoPrecip,46.0,January,Saturday,12
90,-16.45,0.77,NoPrecip,45.0,January,Saturday,12
91,-16.21,0.78,NoPrecip,52.0,January,Saturday,13
92,-16.21,0.78,NoPrecip,62.0,January,Saturday,13
93,-15.39,0.75,NoPrecip,54.0,January,Saturday,14
94,-15.39,0.75,NoPrecip,64.0,January,Saturday,14
95,-14.53,0.75,NoPrecip,70.0,January,Saturday,15
96,-21.23,0.65,NoPrecip,59.0,January,Saturday,16
97,-19.07,0.79,NoPrecip,26.0,January,Sunday,9
98,-17.36,0.81,NoPrecip,38.0,January,Sunday,10
99,-17.36,0.81,NoPrecip,45.0,January,Sunday,10
100,-16.86,0.78,NoPrecip,52.0,January,Sunday,11
101,-16.86,0.78,NoPrecip,67.0,January,Sunday,11
102,-16.95,0.79,NoPrecip,64.0,January,Sunday,12
103,-16.95,0.79,NoPrecip,69.0,January,Sunday,12
104,-16.41,0.75,NoPrecip,64.0,January,Sunday,13
105,-16.09,0.77,NoPrecip,55.0,January,Sunday,14
106,-16.09,0.77,NoPrecip,53.0,January,Sunday,14
107,-16.09,0.77,NoPrecip,55.0,January,Sunday,14
108,-14.24,0.79,NoPrecip,66.0,January,Sunday,16
109,-14.24,0.79,NoPrecip,75.0,January,Sunday,16
110,-13.3,0.83,NoPrecip,81.0,January,Sunday,17
111,-13.3,0.83,NoPrecip,92.0,January,Sunday,17
112,-10.96,0.69,NoPrecip,110.0,January,Sunday,18
