apparentTemperature,humidity,precipType,wr,month,week_day,time
-23.27,0.83,NoPrecip,9.0,January,Tuesday,6
-23.27,0.83,NoPrecip,10.0,January,Tuesday,6
-24.22,0.83,NoPrecip,10.0,January,Tuesday,7
-24.22,0.83,NoPrecip,7.0,January,Tuesday,7
-19.47,0.85,NoPrecip,18.0,January,Tuesday,8
-19.62,0.84,NoPrecip,21.0,January,Tuesday,9
-19.62,0.84,NoPrecip,27.0,January,Tuesday,9
-19.62,0.84,NoPrecip,25.0,January,Tuesday,9
-17.83,0.84,NoPrecip,27.0,January,Tuesday,10
-17.83,0.84,NoPrecip,27.0,January,Tuesday,10
-17.39,0.75,NoPrecip,35.0,January,Tuesday,11
-18.87,0.77,NoPrecip,37.0,January,Tuesday,12
-16.83,0.78,NoPrecip,46.0,January,Tuesday,13
-16.83,0.78,NoPrecip,50.0,January,Tuesday,13
-16.83,0.78,NoPrecip,43.0,January,Tuesday,13
-17.14,0.84,NoPrecip,45.0,January,Tuesday,14
-17.14,0.84,NoPrecip,51.0,January,Tuesday,14
-18.22,0.78,NoPrecip,56.0,January,Tuesday,16
-18.22,0.78,NoPrecip,54.0,January,Tuesday,16
-20.83,0.78,NoPrecip,63.0,January,Tuesday,17
-20.83,0.78,NoPrecip,68.0,January,Tuesday,17
-18.55,0.74,NoPrecip,7.0,January,Wednesday,6
-18.55,0.74,NoPrecip,12.0,January,Wednesday,6
-18.99,0.76,NoPrecip,17.0,January,Wednesday,7
-18.99,0.76,NoPrecip,23.0,January,Wednesday,7
-18.07,0.72,NoPrecip,27.0,January,Wednesday,8
-18.07,0.72,NoPrecip,29.0,January,Wednesday,8
-17.62,0.72,NoPrecip,34.0,January,Wednesday,9
-17.62,0.72,NoPrecip,18.0,January,Wednesday,9
-16.07,0.71,NoPrecip,23.0,January,Wednesday,10
-16.07,0.71,NoPrecip,24.0,January,Wednesday,10
-15.87,0.7,NoPrecip,33.0,January,Wednesday,11
-18.08,0.73,NoPrecip,38.0,January,Wednesday,12
-18.08,0.73,NoPrecip,37.0,January,Wednesday,12
-14.82,0.75,NoPrecip,34.0,January,Wednesday,13
-14.93,0.76,NoPrecip,35.0,January,Wednesday,14
-14.93,0.76,NoPrecip,45.0,January,Wednesday,14
-14.46,0.8,NoPrecip,67.0,January,Wednesday,15
-14.46,0.8,NoPrecip,56.0,January,Wednesday,15
-14.64,0.82,NoPrecip,50.0,January,Wednesday,16
-14.64,0.82,NoPrecip,44.0,January,Wednesday,16
-14.05,0.8,NoPrecip,48.0,January,Wednesday,17
-14.05,0.8,NoPrecip,57.0,January,Wednesday,17
-14.05,0.8,NoPrecip,54.0,January,Wednesday,17
-13.51,0.78,NoPrecip,5.0,January,Thursday,6
-17.33,0.83,NoPrecip,9.0,January,Thursday,7
-17.33,0.83,NoPrecip,22.0,January,Thursday,7
-14.77,0.78,NoPrecip,22.0,January,Thursday,8
-16.15,0.72,NoPrecip,21.0,January,Thursday,9
-16.15,0.72,NoPrecip,18.0,January,Thursday,9
